Time,Activity,Interruption,Changed_Activity,AC_status,AC_Setting,TV_status,Light_status,After_Interruption_AC_status,After_Interruption_AC_Setting,After_Interruption_TV_status,After_Interruption_TV_Setting,After_Interruption_Light_status,After_Interruption_Light_Setting
2025-09-02 17:00:00,group_project,,,On,23,On,On,,,,,,
2025-09-02 17:30:00,clean,,,On,23,On,On,,,,,,
2025-09-02 18:00:00,cook,,,On,25,On,On,,,,,,
2025-09-02 18:30:00,eat_takeout,,,On,25,On,On,,,,,,
2025-09-02 19:00:00,drink,Pet Needs Attention,other,On,25,On,On,On,22.0,Off,44.0,On,100.0
2025-09-02 19:30:00,drink,,,On,22,Off,On,,,,,,
2025-09-02 20:00:00,clean,,,On,22,Off,On,,,,,,
2025-09-02 20:30:00,socialize,,,On,23,On,On,,,,,,
2025-09-02 21:00:00,read,,,On,23,On,On,,,,,,
2025-09-02 21:30:00,group_project,,,On,23,On,On,,,,,,
2025-09-02 22:00:00,journal,,,On,23,On,On,,,,,,
2025-09-02 22:30:00,game,,,On,22,On,On,,,,,,
2025-09-02 23:00:00,set_alarms,,,On,22,On,On,,,,,,
2025-09-02 23:30:00,shop_online,,,On,22,On,On,,,,,,
2025-04-12 00:00:00,journal,,,On,22,Off,Off,,,,,,
2025-04-12 00:30:00,set_alarms,,,On,22,Off,Off,,,,,,
2025-04-12 01:00:00,exercise,,,On,19,Off,On,,,,,,
2025-04-12 01:30:00,read,,,On,19,Off,On,,,,,,
2025-04-12 02:00:00,meditate,,,On,19,Off,On,,,,,,
2025-04-12 02:30:00,nap,,,On,19,Off,On,,,,,,
2025-04-12 03:00:00,clean,,,On,19,Off,On,,,,,,
2025-04-12 03:30:00,nap,,,On,19,Off,On,,,,,,
2025-04-12 04:00:00,read,,,On,19,Off,On,,,,,,
2025-04-12 04:30:00,group_project,,,On,19,Off,On,,,,,,
2025-04-12 05:00:00,eat_breakfast,,,On,19,Off,On,,,,,,
2025-04-12 05:30:00,brush_teeth,,,On,19,Off,On,,,,,,
2025-04-12 06:00:00,watch_media,,,On,23,On,On,,,,,,
2025-04-12 06:30:00,shower,,,Off,23,On,On,,,,,,
2025-04-12 07:00:00,brush_teeth,,,Off,23,On,On,,,,,,
2025-04-12 07:30:00,get_dressed,,,Off,23,On,On,,,,,,
2025-04-12 08:00:00,get_dressed,,,Off,23,On,On,,,,,,
2025-04-12 08:30:00,pay_bills,,,Off,23,On,On,,,,,,
2025-04-12 09:00:00,get_dressed,,,Off,23,On,On,,,,,,
2025-04-12 09:30:00,eat_takeout,,,Off,23,On,On,,,,,,
2025-04-12 10:00:00,wake_up,Social Media Notification,browse_social_media,On,23,On,On,On,23.0,On,37.0,On,70.0
2025-04-12 10:30:00,communicate,,,On,23,On,On,,,,,,
2025-04-12 11:00:00,brush_teeth,,,On,23,On,On,,,,,,
2025-04-12 11:30:00,socialize,,,On,22,On,On,,,,,,
2025-04-12 12:00:00,pay_bills,,,On,22,On,On,,,,,,
2025-04-12 12:30:00,shower,,,Off,22,On,On,,,,,,
2025-04-12 13:00:00,eat_breakfast,,,Off,22,On,On,,,,,,
2025-04-12 13:30:00,group_project,Appliance Malfunction,group_project,Off,22,On,On,Off,22.0,Off,27.0,On,100.0
2025-04-12 14:00:00,browse_social_media,,,Off,22,Off,On,,,,,,
2025-04-12 14:30:00,pay_bills,,,Off,22,Off,On,,,,,,
2025-04-12 15:00:00,study,,,On,23,Off,On,,,,,,
2025-04-12 15:30:00,attend_online_class,,,On,23,Off,On,,,,,,
2025-04-12 16:00:00,game,,,On,21,On,On,,,,,,
2025-04-12 16:30:00,grocery_shop,Loud Noise Outside,grocery_shop,On,21,On,On,On,21.0,On,40.0,On,60.0
2025-04-12 17:00:00,pay_bills,,,On,21,On,On,,,,,,
2025-04-12 17:30:00,shop_online,,,On,21,On,On,,,,,,
2025-04-12 18:00:00,pay_bills,Doorbell,socialize,On,21,On,On,On,21.0,On,40.0,On,60.0
2025-04-12 18:30:00,shop_online,,,On,21,On,On,,,,,,
2025-04-12 19:00:00,prepare_for_bed,,,On,23,Off,On,,,,,,
2025-04-12 19:30:00,socialize,,,On,23,On,On,,,,,,
2025-04-12 20:00:00,do_laundry,,,On,23,On,On,,,,,,
2025-04-12 20:30:00,read,,,On,23,On,On,,,,,,
2025-04-12 21:00:00,prepare_for_bed,,,On,21,Off,On,,,,,,
2025-04-12 21:30:00,read,,,On,21,Off,On,,,,,,
2025-04-12 22:00:00,set_alarms,,,On,21,Off,On,,,,,,
2025-04-12 22:30:00,prepare_for_bed,,,On,22,Off,On,,,,,,
2025-04-12 23:00:00,sleep,,,On,21,Off,On,,,,,,
2025-04-12 23:30:00,shop_online,,,On,21,Off,On,,,,,,
2025-06-01 00:00:00,nap,,,On,22,Off,Off,,,,,,
2025-06-01 00:30:00,browse_social_media,,,On,22,Off,Off,,,,,,
2025-06-01 01:00:00,meditate,,,On,22,Off,Off,,,,,,
2025-06-01 01:30:00,study,,,On,24,Off,On,,,,,,
2025-06-01 02:00:00,charge_devices,,,On,24,Off,On,,,,,,
2025-06-01 02:30:00,charge_devices,Phone Call,charge_devices,On,24,Off,On,On,24.0,Off,0.0,On,100.0
2025-06-01 03:00:00,pay_bills,,,On,24,Off,On,,,,,,
2025-06-01 03:30:00,socialize,Social Media Notification,browse_social_media,On,23,On,On,On,23.0,On,29.0,On,70.0
2025-06-01 04:00:00,nap,,,On,23,On,On,,,,,,
2025-06-01 04:30:00,organize,,,On,23,On,On,,,,,,
2025-06-01 05:00:00,eat_breakfast,,,On,23,On,On,,,,,,
2025-06-01 05:30:00,sleep,,,On,22,Off,On,,,,,,
2025-06-01 06:00:00,get_dressed,,,On,22,Off,On,,,,,,
2025-06-01 06:30:00,sleep,,,On,22,Off,On,,,,,,
2025-06-01 07:00:00,sleep,,,On,22,Off,On,,,,,,
2025-06-01 07:30:00,get_dressed,,,On,22,Off,On,,,,,,
2025-06-01 08:00:00,browse_social_media,Breaking News Alert,watch_media,On,22,Off,On,On,22.0,Off,29.0,On,10.0
2025-06-01 08:30:00,do_laundry,,,On,22,Off,On,,,,,,
2025-06-01 09:00:00,grocery_shop,,,On,22,Off,On,,,,,,
2025-06-01 09:30:00,shower,,,Off,22,Off,On,,,,,,
2025-06-01 10:00:00,meditate,,,Off,22,Off,On,,,,,,
2025-06-01 10:30:00,eat_takeout,,,Off,22,Off,On,,,,,,
2025-06-01 11:00:00,communicate,,,Off,22,Off,On,,,,,,
2025-06-01 11:30:00,listen_music,,,Off,22,Off,On,,,,,,
2025-06-01 12:00:00,read,Neighbor Playing Loud Music,read,Off,22,Off,On,Off,22.0,Off,29.0,On,80.0
2025-06-01 12:30:00,organize,,,Off,22,Off,On,,,,,,
2025-06-01 13:00:00,read,,,Off,22,Off,On,,,,,,
2025-06-01 13:30:00,cook,,,On,23,Off,On,,,,,,
2025-06-01 14:00:00,shower,,,Off,23,Off,On,,,,,,
2025-06-01 14:30:00,watch_media,,,On,24,On,On,,,,,,
2025-06-01 15:00:00,charge_devices,,,On,24,On,On,,,,,,
2025-06-01 15:30:00,get_dressed,,,On,24,On,On,,,,,,
2025-06-01 16:00:00,group_project,,,On,24,On,On,,,,,,
2025-06-01 16:30:00,shower,,,Off,24,On,On,,,,,,
2025-06-01 17:00:00,exercise,,,On,19,On,On,,,,,,
2025-06-01 17:30:00,journal,,,On,19,On,On,,,,,,
2025-06-01 18:00:00,group_project,,,On,19,On,On,,,,,,
2025-06-01 18:30:00,shop_online,,,On,19,On,On,,,,,,
2025-06-01 19:00:00,shop_online,,,On,19,On,On,,,,,,
2025-06-01 19:30:00,game,,,On,22,On,On,,,,,,
2025-06-01 20:00:00,brush_teeth,,,On,22,On,On,,,,,,
2025-06-01 20:30:00,clean,,,On,22,On,On,,,,,,
2025-06-01 21:00:00,organize,,,On,22,On,On,,,,,,
2025-06-01 21:30:00,browse_social_media,,,On,22,On,On,,,,,,
2025-06-01 22:00:00,charge_devices,,,On,22,On,On,,,,,,
2025-06-01 22:30:00,set_alarms,,,On,22,On,On,,,,,,
2025-06-01 23:00:00,browse_social_media,,,On,22,On,On,,,,,,
2025-06-01 23:30:00,shop_online,,,On,22,On,On,,,,,,
2025-07-16 00:00:00,read,,,On,22,Off,Off,,,,,,
2025-07-16 00:30:00,browse_social_media,,,On,22,Off,Off,,,,,,
2025-07-16 01:00:00,game,,,On,23,On,On,,,,,,
2025-07-16 01:30:00,clean,,,On,23,On,On,,,,,,
2025-07-16 02:00:00,set_alarms,,,On,23,On,On,,,,,,
2025-07-16 02:30:00,shop_online,Breaking News Alert,shop_online,On,23,On,On,On,23.0,On,53.0,On,60.0
2025-07-16 03:00:00,meditate,,,On,23,On,On,,,,,,
2025-07-16 03:30:00,drink,,,On,23,On,On,,,,,,
2025-07-16 04:00:00,drink,,,On,23,On,On,,,,,,
2025-07-16 04:30:00,nap,,,On,23,On,On,,,,,,
2025-07-16 05:00:00,sleep,,,On,21,Off,On,,,,,,
2025-07-16 05:30:00,charge_devices,Neighbor Playing Loud Music,eat_breakfast,On,21,Off,On,On,21.0,Off,53.0,On,10.0
2025-07-16 06:00:00,meditate,,,On,21,Off,On,,,,,,
2025-07-16 06:30:00,group_project,,,On,21,Off,On,,,,,,
2025-07-16 07:00:00,journal,,,On,21,Off,On,,,,,,
2025-07-16 07:30:00,get_dressed,Appliance Malfunction,get_dressed,On,21,Off,On,On,22.0,Off,53.0,On,100.0
2025-07-16 08:00:00,study,,,On,24,Off,On,,,,,,
2025-07-16 08:30:00,study,,,On,25,Off,On,,,,,,
2025-07-16 09:00:00,cook,,,On,25,Off,On,,,,,,
2025-07-16 09:30:00,take_out_trash,,,On,25,Off,On,,,,,,
2025-07-16 10:00:00,game,,,On,22,On,On,,,,,,
2025-07-16 10:30:00,shower,,,Off,22,On,On,,,,,,
2025-07-16 11:00:00,exercise,Breaking News Alert,exercise,On,20,On,On,On,20.0,On,49.0,On,100.0
2025-07-16 11:30:00,read,,,On,20,On,On,,,,,,
2025-07-16 12:00:00,take_out_trash,,,On,20,On,On,,,,,,
2025-07-16 12:30:00,attend_online_class,,,On,20,On,On,,,,,,
2025-07-16 13:00:00,clean,,,On,20,On,On,,,,,,
2025-07-16 13:30:00,journal,,,On,20,On,On,,,,,,
2025-07-16 14:00:00,read,,,On,20,On,On,,,,,,
2025-07-16 14:30:00,shop_online,,,On,20,On,On,,,,,,
2025-07-16 15:00:00,eat_takeout,,,On,20,On,On,,,,,,
2025-07-16 15:30:00,pay_bills,,,On,20,On,On,,,,,,
2025-07-16 16:00:00,drink,,,On,20,On,On,,,,,,
2025-07-16 16:30:00,charge_devices,,,On,20,On,On,,,,,,
2025-07-16 17:00:00,communicate,,,On,20,On,On,,,,,,
2025-07-16 17:30:00,socialize,,,On,22,On,On,,,,,,
2025-07-16 18:00:00,organize,,,On,22,On,On,,,,,,
2025-07-16 18:30:00,cook,,,On,25,On,On,,,,,,
2025-07-16 19:00:00,journal,,,On,25,On,On,,,,,,
2025-07-16 19:30:00,read,,,On,25,On,On,,,,,,
2025-07-16 20:00:00,get_dressed,,,On,25,On,On,,,,,,
2025-07-16 20:30:00,read,,,On,25,On,On,,,,,,
2025-07-16 21:00:00,read,,,On,25,On,On,,,,,,
2025-07-16 21:30:00,shop_online,,,On,25,On,On,,,,,,
2025-07-16 22:00:00,meditate,,,On,25,On,On,,,,,,
2025-07-16 22:30:00,set_alarms,,,On,25,On,On,,,,,,
2025-07-16 23:00:00,journal,,,On,25,On,On,,,,,,
2025-07-16 23:30:00,prepare_for_bed,,,On,23,Off,On,,,,,,
2025-04-14 00:00:00,communicate,,,On,22,Off,Off,,,,,,
2025-04-14 00:30:00,watch_media,,,On,23,On,On,,,,,,
2025-04-14 01:00:00,set_alarms,,,On,23,On,On,,,,,,
2025-04-14 01:30:00,organize,,,On,23,On,On,,,,,,
2025-04-14 02:00:00,shop_online,,,On,23,On,On,,,,,,
2025-04-14 02:30:00,grocery_shop,,,On,23,On,On,,,,,,
2025-04-14 03:00:00,do_laundry,,,On,23,On,On,,,,,,
2025-04-14 03:30:00,take_out_trash,,,On,23,On,On,,,,,,
2025-04-14 04:00:00,read,,,On,23,On,On,,,,,,
2025-04-14 04:30:00,read,,,On,23,On,On,,,,,,
2025-04-14 05:00:00,shower,,,Off,23,On,On,,,,,,
2025-04-14 05:30:00,wake_up,,,On,24,On,On,,,,,,
2025-04-14 06:00:00,get_dressed,,,On,24,On,On,,,,,,
2025-04-14 06:30:00,brush_teeth,,,On,24,On,On,,,,,,
2025-04-14 07:00:00,take_out_trash,,,On,24,On,On,,,,,,
2025-04-14 07:30:00,journal,,,On,24,On,On,,,,,,
2025-04-14 08:00:00,group_project,,,On,24,On,On,,,,,,
2025-04-14 08:30:00,attend_online_class,,,On,24,On,On,,,,,,
2025-04-14 09:00:00,group_project,,,On,24,On,On,,,,,,
2025-04-14 09:30:00,cook,Food Delivery Arrival,eat,On,23,On,On,On,23.0,On,48.0,On,100.0
2025-04-14 10:00:00,group_project,,,On,23,On,On,,,,,,
2025-04-14 10:30:00,attend_online_class,,,On,23,On,On,,,,,,
2025-04-14 11:00:00,browse_social_media,,,On,23,On,On,,,,,,
2025-04-14 11:30:00,take_out_trash,,,On,23,On,On,,,,,,
2025-04-14 12:00:00,cook,,,On,24,On,On,,,,,,
2025-04-14 12:30:00,grocery_shop,,,On,24,On,On,,,,,,
2025-04-14 13:00:00,listen_music,,,On,24,On,On,,,,,,
2025-04-14 13:30:00,set_alarms,Appliance Malfunction,other,On,24,On,On,On,22.0,Off,48.0,On,100.0
2025-04-14 14:00:00,nap,,,On,22,Off,On,,,,,,
2025-04-14 14:30:00,wake_up,,,On,22,Off,On,,,,,,
2025-04-14 15:00:00,drink,Weather Alert,drink,On,22,Off,On,On,22.0,Off,48.0,On,70.0
2025-04-14 15:30:00,clean,,,On,22,Off,On,,,,,,
2025-04-14 16:00:00,do_laundry,Weather Alert,do_laundry,On,22,Off,On,On,22.0,Off,48.0,On,70.0
2025-04-14 16:30:00,game,,,On,23,On,On,,,,,,
2025-04-14 17:00:00,study,,,On,23,On,On,,,,,,
2025-04-14 17:30:00,grocery_shop,,,On,23,On,On,,,,,,
2025-04-14 18:00:00,eat_takeout,,,On,23,On,On,,,,,,
2025-04-14 18:30:00,study,,,On,23,On,On,,,,,,
2025-04-14 19:00:00,game,,,On,23,On,On,,,,,,
2025-04-14 19:30:00,game,,,On,23,On,On,,,,,,
2025-04-14 20:00:00,game,,,On,22,On,On,,,,,,
2025-04-14 20:30:00,journal,,,On,22,On,On,,,,,,
2025-04-14 21:00:00,read,,,On,22,On,On,,,,,,
2025-04-14 21:30:00,drink,,,On,22,On,On,,,,,,
2025-04-14 22:00:00,prepare_for_bed,,,On,23,Off,On,,,,,,
2025-04-14 22:30:00,drink,,,On,23,Off,On,,,,,,
2025-04-14 23:00:00,study,,,On,23,Off,On,,,,,,
2025-04-14 23:30:00,set_alarms,,,On,23,Off,On,,,,,,
2025-03-23 00:00:00,do_laundry,,,On,22,Off,Off,,,,,,
2025-03-23 00:30:00,watch_media,,,On,24,On,On,,,,,,
2025-03-23 01:00:00,drink,,,On,24,On,On,,,,,,
2025-03-23 01:30:00,cook,Social Media Notification,browse_social_media,On,25,On,On,On,25.0,On,35.0,On,100.0
2025-03-23 02:00:00,wake_up,,,On,24,On,On,,,,,,
2025-03-23 02:30:00,meditate,,,On,24,On,On,,,,,,
2025-03-23 03:00:00,pay_bills,,,On,24,On,On,,,,,,
2025-03-23 03:30:00,drink,,,On,24,On,On,,,,,,
2025-03-23 04:00:00,charge_devices,,,On,24,On,On,,,,,,
2025-03-23 04:30:00,watch_media,,,On,23,On,On,,,,,,
2025-03-23 05:00:00,shower,,,Off,23,On,On,,,,,,
2025-03-23 05:30:00,clean,,,Off,23,On,On,,,,,,
2025-03-23 06:00:00,eat_breakfast,,,Off,23,On,On,,,,,,
2025-03-23 06:30:00,study,,,On,25,On,On,,,,,,
2025-03-23 07:00:00,wake_up,,,On,22,On,On,,,,,,
2025-03-23 07:30:00,shower,,,Off,22,On,On,,,,,,
2025-03-23 08:00:00,take_out_trash,,,Off,22,On,On,,,,,,
2025-03-23 08:30:00,exercise,,,On,20,On,On,,,,,,
2025-03-23 09:00:00,study,,,On,25,On,On,,,,,,
2025-03-23 09:30:00,game,,,On,23,On,On,,,,,,
2025-03-23 10:00:00,eat_breakfast,,,On,23,On,On,,,,,,
2025-03-23 10:30:00,organize,Phone Call,communicate,On,23,On,On,On,23.0,On,59.0,On,60.0
2025-03-23 11:00:00,socialize,,,On,23,On,On,,,,,,
2025-03-23 11:30:00,attend_online_class,Neighbor Playing Loud Music,attend_online_class,On,23,On,On,On,23.0,On,39.0,On,70.0
2025-03-23 12:00:00,set_alarms,,,On,23,On,On,,,,,,
2025-03-23 12:30:00,group_project,,,On,23,On,On,,,,,,
2025-03-23 13:00:00,clean,,,On,23,On,On,,,,,,
2025-03-23 13:30:00,grocery_shop,Weather Alert,pay_bills,On,23,On,On,On,23.0,On,39.0,On,70.0
2025-03-23 14:00:00,journal,,,On,23,On,On,,,,,,
2025-03-23 14:30:00,eat_takeout,,,On,23,On,On,,,,,,
2025-03-23 15:00:00,watch_media,,,On,24,On,On,,,,,,
2025-03-23 15:30:00,prepare_for_bed,,,On,21,Off,On,,,,,,
2025-03-23 16:00:00,take_out_trash,,,On,21,Off,On,,,,,,
2025-03-23 16:30:00,shower,,,Off,21,Off,On,,,,,,
2025-03-23 17:00:00,read,,,Off,21,Off,On,,,,,,
2025-03-23 17:30:00,shower,,,Off,21,Off,On,,,,,,
2025-03-23 18:00:00,eat_breakfast,,,Off,21,Off,On,,,,,,
2025-03-23 18:30:00,journal,,,Off,21,Off,On,,,,,,
2025-03-23 19:00:00,grocery_shop,,,Off,21,Off,On,,,,,,
2025-03-23 19:30:00,listen_music,,,Off,21,Off,On,,,,,,
2025-03-23 20:00:00,drink,,,Off,21,Off,On,,,,,,
2025-03-23 20:30:00,shop_online,,,Off,21,Off,On,,,,,,
2025-03-23 21:00:00,clean,,,Off,21,Off,On,,,,,,
2025-03-23 21:30:00,charge_devices,,,Off,21,Off,On,,,,,,
2025-03-23 22:00:00,eat_takeout,,,Off,21,Off,On,,,,,,
2025-03-23 22:30:00,communicate,,,Off,21,Off,On,,,,,,
2025-03-23 23:00:00,shop_online,,,Off,21,Off,On,,,,,,
2025-03-23 23:30:00,set_alarms,,,Off,21,Off,On,,,,,,
2025-03-06 00:00:00,nap,,,On,22,Off,Off,,,,,,
2025-03-06 00:30:00,organize,,,On,22,Off,Off,,,,,,
2025-03-06 01:00:00,wake_up,,,On,24,Off,On,,,,,,
2025-03-06 01:30:00,nap,,,On,24,Off,On,,,,,,
2025-03-06 02:00:00,charge_devices,,,On,24,Off,On,,,,,,
2025-03-06 02:30:00,browse_social_media,,,On,24,Off,On,,,,,,
2025-03-06 03:00:00,nap,,,On,24,Off,On,,,,,,
2025-03-06 03:30:00,socialize,,,On,23,On,On,,,,,,
2025-03-06 04:00:00,browse_social_media,,,On,23,On,On,,,,,,
2025-03-06 04:30:00,set_alarms,Unexpected Guest,socialize,On,23,On,On,On,23.0,On,35.0,On,70.0
2025-03-06 05:00:00,listen_music,,,On,23,On,On,,,,,,
2025-03-06 05:30:00,read,Breaking News Alert,watch_media,On,23,On,On,On,23.0,On,35.0,On,70.0
2025-03-06 06:00:00,brush_teeth,,,On,23,On,On,,,,,,
2025-03-06 06:30:00,sleep,,,On,20,Off,On,,,,,,
2025-03-06 07:00:00,eat_breakfast,,,On,20,Off,On,,,,,,
2025-03-06 07:30:00,socialize,,,On,24,On,On,,,,,,
2025-03-06 08:00:00,organize,,,On,24,On,On,,,,,,
2025-03-06 08:30:00,shower,,,Off,24,On,On,,,,,,
2025-03-06 09:00:00,listen_music,,,Off,24,On,On,,,,,,
2025-03-06 09:30:00,journal,,,Off,24,On,On,,,,,,
2025-03-06 10:00:00,exercise,,,On,20,On,On,,,,,,
2025-03-06 10:30:00,grocery_shop,,,On,20,On,On,,,,,,
2025-03-06 11:00:00,take_out_trash,,,On,20,On,On,,,,,,
2025-03-06 11:30:00,shower,,,Off,20,On,On,,,,,,
2025-03-06 12:00:00,grocery_shop,,,Off,20,On,On,,,,,,
2025-03-06 12:30:00,browse_social_media,,,Off,20,On,On,,,,,,
2025-03-06 13:00:00,take_out_trash,,,Off,20,On,On,,,,,,
2025-03-06 13:30:00,group_project,,,Off,20,On,On,,,,,,
2025-03-06 14:00:00,listen_music,,,Off,20,On,On,,,,,,
2025-03-06 14:30:00,socialize,,,On,23,On,On,,,,,,
2025-03-06 15:00:00,pay_bills,,,On,23,On,On,,,,,,
2025-03-06 15:30:00,brush_teeth,,,On,23,On,On,,,,,,
2025-03-06 16:00:00,group_project,,,On,23,On,On,,,,,,
2025-03-06 16:30:00,shop_online,,,On,23,On,On,,,,,,
2025-03-06 17:00:00,cook,,,On,25,On,On,,,,,,
2025-03-06 17:30:00,clean,,,On,25,On,On,,,,,,
2025-03-06 18:00:00,eat_takeout,,,On,25,On,On,,,,,,
2025-03-06 18:30:00,eat_takeout,,,On,25,On,On,,,,,,
2025-03-06 19:00:00,shop_online,,,On,25,On,On,,,,,,
2025-03-06 19:30:00,read,,,On,25,On,On,,,,,,
2025-03-06 20:00:00,communicate,,,On,25,On,On,,,,,,
2025-03-06 20:30:00,drink,,,On,25,On,On,,,,,,
2025-03-06 21:00:00,eat_takeout,Weather Alert,eat_takeout,On,25,On,On,On,25.0,On,33.0,On,100.0
2025-03-06 21:30:00,nap,,,On,25,On,On,,,,,,
2025-03-06 22:00:00,set_alarms,,,On,25,On,On,,,,,,
2025-03-06 22:30:00,pay_bills,,,On,25,On,On,,,,,,
2025-03-06 23:00:00,game,,,On,23,On,On,,,,,,
2025-03-06 23:30:00,pay_bills,,,On,23,On,On,,,,,,
2025-04-11 00:00:00,study,,,On,22,Off,Off,,,,,,
2025-04-11 00:30:00,prepare_for_bed,,,On,21,Off,On,,,,,,
2025-04-11 01:00:00,do_laundry,,,On,21,Off,On,,,,,,
2025-04-11 01:30:00,journal,,,On,21,Off,On,,,,,,
2025-04-11 02:00:00,nap,,,On,21,Off,On,,,,,,
2025-04-11 02:30:00,cook,,,On,23,Off,On,,,,,,
2025-04-11 03:00:00,cook,,,On,25,Off,On,,,,,,
2025-04-11 03:30:00,game,,,On,22,On,On,,,,,,
2025-04-11 04:00:00,read,,,On,22,On,On,,,,,,
2025-04-11 04:30:00,shower,,,Off,22,On,On,,,,,,
2025-04-11 05:00:00,exercise,,,On,20,On,On,,,,,,
2025-04-11 05:30:00,wake_up,Received an Important Email,wake_up,On,24,On,On,On,24.0,On,48.0,On,70.0
2025-04-11 06:00:00,sleep,,,On,21,Off,On,,,,,,
2025-04-11 06:30:00,get_dressed,,,On,21,Off,On,,,,,,
2025-04-11 07:00:00,sleep,,,On,21,Off,On,,,,,,
2025-04-11 07:30:00,meditate,,,On,21,Off,On,,,,,,
2025-04-11 08:00:00,communicate,,,On,21,Off,On,,,,,,
2025-04-11 08:30:00,communicate,,,On,21,Off,On,,,,,,
2025-04-11 09:00:00,cook,,,On,23,Off,On,,,,,,
2025-04-11 09:30:00,cook,,,On,23,Off,On,,,,,,
2025-04-11 10:00:00,study,,,On,23,Off,On,,,,,,
2025-04-11 10:30:00,group_project,,,On,23,Off,On,,,,,,
2025-04-11 11:00:00,study,,,On,24,Off,On,,,,,,
2025-04-11 11:30:00,cook,,,On,23,Off,On,,,,,,
2025-04-11 12:00:00,pay_bills,,,On,23,Off,On,,,,,,
2025-04-11 12:30:00,game,,,On,23,On,On,,,,,,
2025-04-11 13:00:00,clean,,,On,23,On,On,,,,,,
2025-04-11 13:30:00,grocery_shop,Neighbor Playing Loud Music,grocery_shop,On,23,On,On,On,23.0,On,52.0,On,60.0
2025-04-11 14:00:00,clean,,,On,23,On,On,,,,,,
2025-04-11 14:30:00,grocery_shop,,,On,23,On,On,,,,,,
2025-04-11 15:00:00,clean,,,On,23,On,On,,,,,,
2025-04-11 15:30:00,socialize,,,On,23,On,On,,,,,,
2025-04-11 16:00:00,socialize,Weather Alert,browse_social_media,On,22,On,On,On,22.0,On,33.0,On,70.0
2025-04-11 16:30:00,socialize,,,On,24,On,On,,,,,,
2025-04-11 17:00:00,cook,,,On,25,On,On,,,,,,
2025-04-11 17:30:00,socialize,,,On,24,On,On,,,,,,
2025-04-11 18:00:00,group_project,Social Media Notification,group_project,On,24,On,On,On,24.0,On,33.0,On,70.0
2025-04-11 18:30:00,nap,,,On,24,On,On,,,,,,
2025-04-11 19:00:00,clean,,,On,24,On,On,,,,,,
2025-04-11 19:30:00,watch_media,,,On,23,On,On,,,,,,
2025-04-11 20:00:00,browse_social_media,,,On,23,On,On,,,,,,
2025-04-11 20:30:00,read,,,On,23,On,On,,,,,,
2025-04-11 21:00:00,socialize,,,On,24,On,On,,,,,,
2025-04-11 21:30:00,charge_devices,,,On,24,On,On,,,,,,
2025-04-11 22:00:00,prepare_for_bed,,,On,21,Off,On,,,,,,
