
Context,study,attend_class,socialize,watch_media,game,exercise,sleep,eat,clean,communicate,browse_social_media,shop_online,meditate,read,get_dressed,brush_teeth,cook,do_laundry,attend_online_class,group_project,organize,pay_bills,grocery_shop,take_out_trash,set_alarms,charge_devices,journal,prepare_for_bed,other
job_interview_tomorrow,0.15,0.08,0.04,0.04,0.02,0.04,0.15,0.05,0.04,0.04,0.02,0.04,0.03,0.04,0.04,0.03,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02
health_issue,0.08,0.04,0.02,0.15,0.08,0.01,0.20,0.05,0.01,0.04,0.04,0.01,0.02,0.04,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
birthday,0.04,0.04,0.30,0.08,0.04,0.02,0.04,0.08,0.02,0.08,0.01,0.01,0.01,0.01,0.04,0.03,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
holiday_season,0.04,0.02,0.25,0.12,0.08,0.04,0.08,0.08,0.02,0.04,0.01,0.02,0.01,0.01,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
new_hobby_enthusiasm,0.08,0.08,0.08,0.04,0.04,0.08,0.08,0.05,0.02,0.04,0.02,0.01,0.02,0.15,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03
all_nighter,0.50,0.04,0.02,0.04,0.04,0.01,0.04,0.04,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
hangover_day,0.04,0.04,0.04,0.15,0.08,0.01,0.20,0.08,0.01,0.04,0.04,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.03
procrastination_guilt,0.25,0.08,0.04,0.08,0.08,0.04,0.08,0.05,0.02,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
failed_exam,0.25,0.08,0.04,0.12,0.08,0.04,0.08,0.05,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
unexpected_free_day,0.08,0.02,0.15,0.12,0.12,0.08,0.04,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02
internship_application_deadline,0.30,0.08,0.02,0.03,0.02,0.02,0.10,0.05,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02
sports_team_tryouts,0.10,0.08,0.05,0.05,0.03,0.25,0.10,0.05,0.01,0.03,0.02,0.01,0.02,0.01,0.04,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
club_event_organizing,0.10,0.08,0.20,0.03,0.02,0.03,0.08,0.05,0.02,0.08,0.02,0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.03,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
part_time_job_shift,0.05,0.05,0.08,0.02,0.02,0.02,0.08,0.05,0.02,0.05,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.38
volunteering_day,0.05,0.05,0.20,0.02,0.02,0.05,0.08,0.05,0.02,0.08,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.22
relationship_anniversary,0.05,0.05,0.25,0.08,0.03,0.03,0.08,0.10,0.02,0.10,0.02,0.02,0.01,0.01,0.04,0.03,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
summer_break_starting,0.02,0.02,0.25,0.12,0.10,0.08,0.10,0.06,0.02,0.05,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
winter_break_ending,0.08,0.05,0.15,0.10,0.08,0.05,0.12,0.05,0.02,0.05,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
lost_item_stress,0.08,0.08,0.05,0.05,0.03,0.03,0.08,0.04,0.05,0.05,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15
oversleeping_panic,0.15,0.15,0.02,0.02,0.01,0.02,0.02,0.08,0.01,0.03,0.01,0.01,0.01,0.01,0.15,0.10,0.02,0.01,0.05,0.01,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.03
unexpected_visitor,0.05,0.05,0.20,0.08,0.05,0.02,0.05,0.08,0.08,0.10,0.02,0.01,0.01,0.01,0.04,0.03,0.04,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
power_outage,0.05,0.02,0.15,0.02,0.02,0.05,0.15,0.08,0.05,0.08,0.01,0.01,0.02,0.05,0.02,0.02,0.05,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.02,0.01,0.05
internet_down,0.08,0.05,0.10,0.05,0.03,0.08,0.10,0.08,0.05,0.05,0.01,0.01,0.02,0.08,0.02,0.02,0.04,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04
exciting_date_planned,0.08,0.08,0.15,0.05,0.03,0.05,0.08,0.05,0.03,0.08,0.02,0.02,0.01,0.01,0.05,0.03,0.03,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
broke_up_recently,0.15,0.10,0.05,0.15,0.08,0.05,0.12,0.05,0.02,0.05,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
made_new_friends,0.08,0.08,0.25,0.08,0.05,0.05,0.08,0.06,0.02,0.08,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
campus_event_day,0.05,0.15,0.25,0.05,0.03,0.05,0.05,0.08,0.02,0.08,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
moving_to_new_apartment,0.02,0.02,0.10,0.02,0.02,0.05,0.08,0.05,0.20,0.08,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.05,0.01,0.01,0.08,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.05
first_time_living_alone,0.10,0.08,0.08,0.10,0.08,0.05,0.10,0.08,0.05,0.05,0.02,0.02,0.01,0.01,0.03,0.02,0.04,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02
dealing_with_noisy_neighbors,0.15,0.10,0.05,0.10,0.08,0.05,0.12,0.05,0.02,0.05,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
forgot_important_assignment,0.40,0.10,0.02,0.03,0.02,0.02,0.05,0.04,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.08,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
laptop_phone_broken,0.15,0.08,0.08,0.05,0.03,0.05,0.08,0.05,0.02,0.08,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.10,0.01,0.01,0.05
exploring_new_city,0.02,0.02,0.25,0.05,0.02,0.10,0.08,0.10,0.01,0.08,0.03,0.02,0.01,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.05
joining_new_club_society,0.08,0.08,0.25,0.05,0.03,0.05,0.08,0.05,0.02,0.10,0.02,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
preparing_for_study_abroad,0.15,0.10,0.10,0.05,0.03,0.03,0.10,0.05,0.02,0.08,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03
returning_from_vacation,0.12,0.08,0.10,0.10,0.05,0.05,0.12,0.05,0.03,0.08,0.03,0.01,0.01,0.01,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
waiting_for_important_email,0.15,0.10,0.05,0.08,0.05,0.05,0.08,0.05,0.02,0.05,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.03
budgeting_for_the_month,0.10,0.08,0.05,0.05,0.03,0.03,0.08,0.05,0.02,0.05,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0.05,0.15,0.03,0.01,0.01,0.01,0.01,0.01,0.03
caught_up_in_tv_series_binge,0.05,0.05,0.05,0.40,0.08,0.02,0.10,0.05,0.01,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
preparing_for_presentation,0.30,0.10,0.03,0.03,0.02,0.03,0.10,0.05,0.01,0.05,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.05,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
job_offer_consideration,0.15,0.08,0.08,0.05,0.03,0.05,0.10,0.05,0.02,0.10,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03
contemplating_changing_major,0.20,0.10,0.08,0.08,0.05,0.05,0.10,0.05,0.02,0.08,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
dealing_with_academic_probation,0.30,0.15,0.03,0.05,0.03,0.03,0.10,0.05,0.01,0.05,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
planning_summer_internship,0.20,0.10,0.08,0.05,0.03,0.05,0.08,0.05,0.02,0.08,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
struggling_with_difficult_class,0.30,0.15,0.03,0.05,0.03,0.03,0.10,0.05,0.01,0.05,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
preparing_for_graduate_school_applications,0.25,0.10,0.05,0.05,0.03,0.03,0.10,0.05,0.01,0.08,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03
